t,ABS_RX,ABS_RY,ABS_RZ,ABS_X,ABS_Y,ABS_Z
1654431139.742812,126,126,0,136,0,0
1654431139.778829,127,125,0,136,0,0
1654431139.81475,127,126,0,136,0,0
1654431139.851031,127,125,13,136,0,0
1654431139.8868082,127,126,18,136,0,0
1654431139.9227958,125,126,23,136,0,0
1654431139.958804,126,126,30,135,0,0
1654431139.9948251,126,126,36,135,0,0
1654431140.0308738,126,125,43,135,0,0
1654431140.0669513,126,125,44,136,0,0
1654431140.1028197,126,126,45,137,0,0
1654431140.138804,126,126,46,136,0,0
1654431140.174842,126,126,48,135,0,0
1654431140.2108672,127,125,58,135,0,0
1654431140.2469203,126,125,66,136,0,0
1654431140.282846,126,126,71,137,0,0
1654431140.3189113,126,127,78,136,0,0
1654431140.3549922,126,126,83,135,0,0
1654431140.3910997,127,126,93,135,0,0
1654431140.4269614,127,125,103,136,0,0
1654431140.4629126,126,126,121,136,0,0
1654431140.498894,126,125,143,136,0,0
1654431140.535018,126,126,156,136,0,0
1654431140.5710528,127,125,165,136,0,0
1654431140.6070566,126,126,175,135,0,0
1654431140.6430955,127,125,184,136,0,0
1654431140.6790333,127,126,198,136,0,0
1654431140.715068,126,126,225,136,0,0
1654431140.751075,126,126,249,135,0,0
1654431140.7911093,127,126,255,135,0,0
1654431140.8270493,127,126,255,136,0,0
1654431140.8631024,126,125,255,135,0,0
1654431140.9031556,127,125,255,136,0,0
1654431140.9392421,125,126,255,135,0,0
1654431140.9831266,125,126,255,136,0,0
1654431141.019288,127,126,255,136,0,0
1654431141.0670693,126,126,255,137,0,0
1654431141.1030648,125,126,255,136,0,0
1654431141.1390605,126,126,255,135,0,0
1654431141.1750865,126,126,255,136,0,0
1654431141.211001,126,125,255,135,0,0
1654431141.247081,125,125,255,136,0,0
1654431141.283102,125,126,255,136,0,0
1654431141.3191547,127,126,255,135,0,0
1654431141.3550544,126,126,255,135,0,0
1654431141.390995,126,125,255,135,0,0
1654431141.4271536,127,125,255,136,0,0
1654431141.4629939,125,126,255,136,0,0
1654431141.4990277,125,126,255,136,0,0
1654431141.5351338,127,127,255,136,0,0
1654431141.5710917,126,125,255,135,0,0
1654431141.6071308,127,126,255,136,0,0
1654431141.643095,125,126,255,137,0,0
1654431141.6791384,126,126,255,136,0,0
1654431141.7150435,126,126,255,135,0,0
1654431141.7630804,126,126,255,135,0,0
1654431141.7990522,127,126,244,136,0,0
1654431141.8351882,126,125,233,136,0,0
1654431141.8711495,126,126,229,136,0,0
1654431141.9071913,126,126,228,136,0,0
1654431141.9472291,126,126,228,135,0,0
1654431141.983178,127,126,226,135,0,0
1654431142.0192466,127,126,220,135,0,0
1654431142.0552845,126,126,193,136,0,0
1654431142.0912952,127,125,190,136,0,0
1654431142.127238,126,126,190,136,0,0
1654431142.1630924,126,126,186,136,0,0
1654431142.199276,126,126,178,136,0,0
1654431142.2352836,126,126,169,136,0,0
1654431142.2713442,127,126,167,136,0,0
1654431142.3072112,126,126,166,136,0,0
1654431142.3432028,126,126,154,135,0,0
1654431142.3790793,127,126,110,136,0,0
1654431142.41526,126,126,64,136,0,0
1654431142.4512367,126,126,0,135,0,0
1654431142.4872594,126,125,0,136,0,0
1654431142.523265,126,126,0,136,0,0
1654431142.5592628,126,126,0,136,0,0
1654431142.5992935,126,126,0,137,0,0
1654431142.6352372,126,126,0,136,0,0
1654431142.671292,126,126,0,136,0,0
1654431142.7073207,126,126,0,135,0,0
